num_of_regressors,num_of_pca_dims,num_of_gmm_comps,threshold,num_of_features,r2_score
100,0,10,0,10,0.4097901978392697
100,0,10,0,50,0.4456219595176186
100,0,10,0,100,0.46655852786564245
100,0,10,0,150,0.501777747374591
100,0,10,0,200,0.48665537957865074
100,0,20,0,10,0.4127973418911542
100,0,20,0,50,0.49509079308407644
100,0,20,0,100,0.48697207664881736
100,0,20,0,150,0.45782868212245553
100,0,20,0,200,0.44620274009963445
100,0,30,0,10,0.4069540433831972
100,0,30,0,50,0.44441933253776716
100,0,30,0,100,0.4817198265844501
100,0,30,0,150,0.5000758071365082
100,0,30,0,200,0.4824825738767153
100,0,50,0,10,0.4220293933355862
100,0,50,0,50,0.4618381375616141
100,0,50,0,100,0.4849778521943338
100,0,50,0,150,0.47485570486424517
100,0,50,0,200,0.5075071631393022
500,0,10,0,10,0.35786677068897493
500,0,10,0,50,0.44333915921190997
500,0,10,0,100,0.4994716636905954
500,0,10,0,150,0.49850750604525496
500,0,10,0,200,0.48939315685836193
500,0,20,0,10,0.38512830965509476
500,0,20,0,50,0.4561711556436204
500,0,20,0,100,0.5071534948064322
500,0,20,0,150,0.49273559867202826
500,0,20,0,200,0.4917308532981501
500,0,30,0,10,0.3811835902227344
500,0,30,0,50,0.4447943584906323
500,0,30,0,100,0.48672104122737325
500,0,30,0,150,0.5016284806229918
500,0,30,0,200,0.48648110139638484
500,0,50,0,10,0.3740912906406558
500,0,50,0,50,0.4697973141762467
500,0,50,0,100,0.5191156391395291
500,0,50,0,150,0.5067801936311399
500,0,50,0,200,0.50635333338487
700,0,10,0,10,0.3296194205438008
700,0,10,0,50,0.44844680856400687
700,0,10,0,100,0.47392852924840734
700,0,10,0,150,0.48339850529804657
700,0,10,0,200,0.4818867363963163
700,0,20,0,10,0.3714002175277534
700,0,20,0,50,0.4770187873425826
700,0,20,0,100,0.5137837042843377
700,0,20,0,150,0.47245214651957407
700,0,20,0,200,0.5011297991499372
700,0,30,0,10,0.3873202817861765
700,0,30,0,50,0.4652500256527892
700,0,30,0,100,0.5295802055479789
700,0,30,0,150,0.5205820797223579
700,0,30,0,200,0.5319986187286981
700,0,50,0,10,0.3593275429765816
700,0,50,0,50,0.47820873484648924
700,0,50,0,100,0.4790546562661689
700,0,50,0,150,0.5219803430078394
700,0,50,0,200,0.4835749032858285
1000,0,10,0,10,0.3292012875671137
1000,0,10,0,50,0.4297736973873031
1000,0,10,0,100,0.49963290907893737
1000,0,10,0,150,0.5023763093100577
1000,0,10,0,200,0.46673615128310625
1000,0,20,0,10,0.37825230192910875
1000,0,20,0,50,0.5045435033202803
1000,0,20,0,100,0.49152451621559523
1000,0,20,0,150,0.5142742025727332
1000,0,20,0,200,0.5111239775626026
1000,0,30,0,10,0.33088085740471873
1000,0,30,0,50,0.4745263117895114
1000,0,30,0,100,0.5108843726760183
1000,0,30,0,150,0.4919549128675295
1000,0,30,0,200,0.532275032716815
1000,0,50,0,10,0.3657219644992565
1000,0,50,0,50,0.4537677660855854
1000,0,50,0,100,0.49400458145251613
1000,0,50,0,150,0.5171697644153961
1000,0,50,0,200,0.49137942421235686
